45.91899037361145
         121232705 function calls (108095604 primitive calls) in 60.957 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   102028    0.033    0.000    0.097    0.000 dsl_factory.py:313(<listcomp>)
    57675    0.097    0.000    0.097    0.000 __init__.py:18(<dictcomp>)
 1549/488    0.008    0.000    0.094    0.000 _parser.py:447(_parse_sub)
   545313    0.094    0.000    0.094    0.000 type_string_repr.py:18(__init__)
 2142/517    0.036    0.000    0.092    0.000 _parser.py:507(_parse)
2813/1921    0.002    0.000    0.091    0.000 typing.py:476(__getitem__)
       10    0.000    0.000    0.091    0.009 __init__.py:342(__init__)
92538/84842    0.036    0.000    0.091    0.000 type.py:112(<listcomp>)
       10    0.091    0.009    0.091    0.009 {built-in method _ctypes.dlopen}
     6812    0.057    0.000    0.089    0.000 inspect.py:867(cleandoc)
     3673    0.009    0.000    0.089    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
     3925    0.016    0.000    0.088    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        3    0.000    0.000    0.087    0.029 text.py:1(<module>)
   795512    0.087    0.000    0.087    0.000 {method 'isnumeric' of 'str' objects}
        1    0.000    0.000    0.086    0.086 _continuous_distns.py:1(<module>)
        2    0.000    0.000    0.085    0.043 client.py:1(<module>)
        1    0.000    0.000    0.085    0.085 _optical_flow.py:1(<module>)
19299/19281    0.024    0.000    0.085    0.000 ast.py:430(visit_Constant)
     5173    0.013    0.000    0.085    0.000 handler.py:80(target_child)
     6784    0.006    0.000    0.084    0.000 inspect.py:848(getdoc)
        1    0.000    0.000    0.084    0.084 polyfuncs.py:1(<module>)
        8    0.000    0.000    0.084    0.010 _ops.py:617(load_library)
        1    0.000    0.000    0.084    0.084 specialpolys.py:1(<module>)
    12841    0.041    0.000    0.084    0.000 dsl.py:163(<listcomp>)
        1    0.000    0.000    0.084    0.084 utils.py:78(_init_ffmpeg)
        1    0.000    0.000    0.083    0.083 figure.py:1(<module>)
    63027    0.053    0.000    0.082    0.000 mask.py:112(on_exit)
   968409    0.081    0.000    0.081    0.000 copy.py:182(_deepcopy_atomic)
        3    0.000    0.000    0.081    0.027 utils.py:27(_load_lib)
     3495    0.006    0.000    0.080    0.000 target_handler.py:127(on_child_enter)
      107    0.002    0.000    0.080    0.001 _distn_infrastructure.py:1797(__init__)
   690180    0.079    0.000    0.079    0.000 {method 'isidentifier' of 'str' objects}
    30232    0.026    0.000    0.079    0.000 pull_scope.py:28(pull_scope)
      202    0.010    0.000    0.079    0.000 dsl_factory.py:181(<listcomp>)
        1    0.000    0.000    0.079    0.079 streaming_download_manager.py:1(<module>)
        1    0.000    0.000    0.077    0.077 rings.py:1(<module>)
     4346    0.004    0.000    0.077    0.000 target_handler.py:68(on_child_enter)
   420369    0.077    0.000    0.077    0.000 export_as_dsl.py:175(is_sequence_symbol)
     1894    0.008    0.000    0.077    0.000 typing.py:653(Union)
     3984    0.016    0.000    0.076    0.000 typing.py:1346(__init__)
   613101    0.076    0.000    0.076    0.000 {method 'replace' of 'str' objects}
   696114    0.075    0.000    0.075    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.073    0.037 array.py:1(<module>)
255432/254225    0.054    0.000    0.072    0.000 {built-in method __new__ of type object at 0x860e20}
304445/304279    0.071    0.000    0.072    0.000 {method 'update' of 'dict' objects}
    60604    0.048    0.000    0.071    0.000 parsed_ast.py:413(render_leaf_as_string)
        1    0.000    0.000    0.071    0.071 eager_transforms.py:1(<module>)
145316/145303    0.018    0.000    0.071    0.000 {method 'extend' of 'list' objects}
   458899    0.071    0.000    0.071    0.000 {method 'group' of 're.Match' objects}
     2464    0.023    0.000    0.070    0.000 inspect.py:2333(_signature_from_function)
   250152    0.050    0.000    0.069    0.000 <string>:2(__hash__)
     7334    0.025    0.000    0.068    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
    15129    0.020    0.000    0.068    0.000 parse_s_exp.py:27(s_exp_leaf_to_value)
      200    0.001    0.000    0.066    0.000 bigram.py:373(compute_preorder_mask)
    63027    0.066    0.000    0.066    0.000 collect_preorder_symbols.py:38(<listcomp>)
        1    0.000    0.000    0.066    0.066 colors.py:1(<module>)
